Year,Month,Total Energy Consumption (in GWh),Total Energy Consumption of CC by Industry Type (in GWh) ,Load Factor (in %),Quarterly Energy Consumption,,,,,,,,,,
2014,Jan,"4,422",,84,,,,,,,,,,,
2014,Feb,"4,690",,87,,,,,,,,,,,
2014,Mar,"4,485",,90,"13,597",,,,,,,,,,
2014,Apr,"5,249",,84,,,,,,,,,,,
2014,May,"5,527",,88,,,,,,,,,,,
2014,Jun,"5,650",,89,"16,426",,,,,,,,,,
2014,Jul,"4,929",,84,,,,,,,,,,,
2014,Aug,"5,248",,87,,,,,,,,,,,
2014,Sept,"5,227",,89,"15,404",,,,,,,,,,
2014,Oct,"5,153",,87,,,,,,,,,,,
2014,Nov,"5,283",,88,,,,,,,,,,,
2014,Dec,"4,891",,85,"15,327",,,,,,,,,,
2015,Jan,"4,557",,82,,,,,,,,,,,
2015,Feb,"4,925",,89,,,,,,,,,,,
2015,Mar,"4,696",,89,"14,178",,,,,,,,,,
2015,Apr,"5,416",,84,,,,,,,,,,,
2015,May,"5,675",,87,,,,,,,,,,,
2015,Jun,"5,923",,89,"17,014",,,,,,,,,,
2015,Jul,"5,413",,87,,,,,,,,,,,
2015,Aug,"5,658",,88,,,,,,,,,,,
2015,Sept,"5,703",,87,"16,774",,,,,,,,,,
2015,Oct,"5,463",,89,,,,,,,,,,,
2015,Nov,"5,711",,87,,,,,,,,,,,
2015,Dec,"5,239",,85,"16,413",,,,,,,,,,
2016,Jan,"5,197",,80,,,,,,,,,,,
2016,Feb,"5,475",,88,,,,,,,,,,,
2016,Mar,"5,361",,85,"16,033",,,,,,,,,,
2016,Apr,"6,102",,85, ,,,,,,,,,,
2016,May,"6,302",,86,,,,,,,,,,,
2016,Jun,"6,396",,88,"18,800",,,,,,,,,,
2016,Jul,"5,882",,88,,,,,,,,,,,
2016,Aug,"6,053",,88,,,,,,,,,,,
2016,Sept,"6,079",,87,"18,014",,,,,,,,,,
2016,Oct,"5,872",,89,,,,,,,,,,,
2016,Nov,"5,923",,85,,,,,,,,,,,
2016,Dec,"5,624",,85,"17,419",,,,,,,,,,
2017,Jan,"5,277",,,,,,,,,,,,,
2017,Feb,"5,752",,,,,,,,,,,,,
2017,Mar,"5,382",,,"16,411",,,,,,,,,,
2017,Apr,"6,286",,,,,,,,,,,,,
2017,May,"6,472",,,,,,,,,,,,,
2017,Jun,"6,696",,,"19,454",,,,,,,,,,
2017,Jul,"6,236",,,,,,,,,,,,,
2017,Aug,"6,487",,,,,,,,,,,,,
2017,Sept,"6,314",,,"19,037",,,,,,,,,,
2017,Oct,"5,977",,,,,,,,,,,,,
2017,Nov,"6,236",,,,,,,,,,,,,
2017,Dec,"6,195",,,"18,408",,,,,,,,,,
2018,Jan,"5,855",977,,,,,,,,,,,,
2018,Feb,"6,169","1,291",,,,,,,,,,,,
2018,Mar,"5,899","1,021",81,"17,923",,,,,,,,,,
2018,Apr,"6,560","1,682",77,,,,,,,,,,,
2018,May,"6,949","2,071",80,,,,,,,,,,,
2018,Jun,"6,817","1,939",79,"20,326",,,,,,,,,,
2018,Jul,"6,447","1,569",81,,,,,,,,,,,
2018,Aug,"6,647","1,769",81,,,,,,,,,,,
2018,Sept,"6,641","1,763",81,"19,735",,,,,,,,,,
2018,Oct,"6,789","1,911",81,,,,,,,,,,,
2018,Nov,"6,666","1,788",80,,,,,,,,,,,
2018,Dec,"6,311","1,433",78,"19,766",,,,,,,,,,
2019,Jan,"6,046","1,168",77,,,,,,,,,,,
2019,Feb,"6,202","1,324",82,,,,,,,,,,,
2019,Mar,"6,135","1,257",81,"18,383",,,,,,,,,,
2019,Apr,"7,162","2,284",78,,,,,,,,,,,
2019,May,"7,384","2,506",81,,,,,,,,,,,
2019,Jun,"7,697","2,819",81,"22,243",,,,,,,,,,
2019,Jul,"7,042","2,164",80,,,,,,,,,,,
2019,Aug,"6,997","2,119",80,,,,,,,,,,,
2019,Sept,"6,929","2,051",80,"20,968",,,,,,,,,,
2019,Oct,"7,118","2,240",81,,,,,,,,,,,
2019,Nov,"7,080","2,202",80,,,,,,,,,,,
2019,Dec,"6,483","1,605",78,"20,681",,,,,,,,,,
2020,Jan,"6,455","1,562",76,,,,,,,,,,,
2020,Feb,"6,613","1,721",81,,,,,,,,,,,
2020,Mar,"6,224","1,447",70,"19,292",,,,,,,,,,
2020,Apr,"3,760",940,77,,,,,,,,,,,
2020,May,"7,284","1,134",71,,,,,,,,,,,
2020,Jun,"7,949","1,487",79,"18,993",,,,,,,,,,
2020,Jul,"6,789","1,511",82,,,,,,,,,,,
2020,Aug,"6,789","1,511",80,,,,,,,,,,,
2020,Sept,"6,852","1,574",81,"20,430",,,,,,,,,,
2020,Oct,"6,380","1,517",81,,,,,,,,,,,
2020,Nov,"6,390","1,527",78,,,,,,,,,,,
2020,Dec,"6,426","1,532",80,"19,196",,,,,,,,,,
2021,Jan,"6,129","1,489",77,,,,,,,,,,,
2021,Feb,"6,358","1,608",82,,,,,,,,,,,
2021,Mar,"6,205","1,510",82,"18,692",,,,,,,,,,
2021,Apr,"7,205","1,545",77,,,,,,,,,,,
2021,May,"7,303","1,642",79,,,,,,,,,,,
2021,Jun,"7,581","1,757",81,"22,089",,,,,,,,,,
2021,Jul,"6,926","1,633",80,,,,,,,,,,,
2021,Aug,"6,948","1,658",79,,,,,,,,,,,
2021,Sept,"6,949","1,659",79,"20,823",,,,,,,,,,
2021,Oct,"6,686","1,672",81,,,,,,,,,,,
2021,Nov,"6,767","1,780",81,,,,,,,,,,,
2021,Dec,"6,872","1,638",78,"20,325",,,,,,,,,,
2022,Jan,"6,398","1,588",76,,,,,,,,,,,
2022,Feb,"6,613","1,776",82,,,,,,,,,,,
2022,Mar,"6,354","1,671",80,"19,365",,,,,,,,,,
2022,Apr,"7,727","1,782",77,,,,,,,,,,,
2022,May,"7,418","1,828",80,,,,,,,,,,,
2022,Jun,"7,617","1,923",81,"22,762",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,